PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Moussa Diabaté,LAC,11,7,4,5.8,2544.9,0.48,0.26,0.22,4.43,4.54,4.31
Myles Turner,IND,77,45,32,27,10541.5,2,1.05,0.94,4.17,4.54,3.81
Naji Marshall,NOP,65,41,24,19.1,7805.9,1.48,0.77,0.71,4.3,4.49,4.12
Nassir Little,PHX,45,28,17,10.2,4093.6,0.78,0.41,0.36,4.23,4.47,3.99
Nate Hinton,HOU,15,8,7,5,2246.3,0.43,0.23,0.2,4.74,5.19,4.32
Nate Williams,HOU,22,11,11,5.9,2547.4,0.48,0.25,0.24,4.48,4.79,4.21
Nathan Mensah,CHA,25,3,22,12.3,4826,0.91,0.49,0.42,4.15,4.24,4.02
Naz Reid,MIN,81,56,25,24.2,9540.7,1.81,0.96,0.85,4.15,4.41,3.9
Neemias Queta,BOS,28,24,4,11.9,4751.8,0.9,0.48,0.42,4.24,4.43,4.03
Nic Claxton,BKN,68,27,41,29.9,11852.5,2.24,1.19,1.06,4.22,4.41,4.02
Nick Richards,CHA,66,13,53,26.2,10727.4,2.03,1.08,0.95,4.36,4.53,4.19
Nick Smith Jr.,CHA,50,8,42,14.2,6119.4,1.16,0.63,0.52,4.55,4.89,4.19
Nickeil Alexander-Walker,MIN,82,56,26,23.4,10139.3,1.92,1.02,0.9,4.56,4.89,4.24
Nicolas Batum,PHI,59,35,24,25.6,10720,2.03,1.07,0.96,4.43,4.61,4.26
Nikola Jokić,DEN,77,53,24,34.7,12442.1,2.36,1.31,1.04,3.81,4.19,3.43
Nikola Jović,MIA,46,24,22,19.5,7796.7,1.48,0.79,0.68,4.41,4.82,4
Nikola Vučević,CHI,75,36,39,34.3,12171.3,2.31,1.2,1.11,3.83,4.05,3.62
Noah Clowney,BKN,22,10,12,14.9,6038.8,1.14,0.61,0.53,4.26,4.44,4.06
Norman Powell,LAC,75,47,28,26.2,10027,1.9,1.02,0.88,4.03,4.3,3.76
OG Anunoby,NYK,50,31,19,34,13075.9,2.48,1.28,1.2,4.06,4.14,3.99
Obi Toppin,IND,82,47,35,21.1,9297.3,1.76,0.93,0.83,4.64,4.97,4.31
Ochai Agbaji,TOR,77,31,46,21,8849.8,1.68,0.89,0.79,4.43,4.7,4.15
Olivier Sarr,OKC,15,8,7,6.5,2682.9,0.51,0.29,0.22,4.37,4.93,3.8
Olivier-Maxence Prosper,DAL,40,24,16,8.4,3586.5,0.68,0.35,0.32,4.53,4.69,4.36
Omer Yurtseven,UTA,47,17,30,11.5,4639.6,0.88,0.48,0.4,4.26,4.43,4.06
Onuralp Bitim,CHI,22,11,11,11.7,4812.6,0.91,0.47,0.44,4.34,4.59,4.06
Onyeka Okongwu,ATL,55,23,32,25.5,9759.6,1.85,0.94,0.91,4.11,4.23,3.99
Orlando Robinson,MIA,36,20,16,8.4,3422.6,0.65,0.34,0.3,4.25,4.39,4.1
Oscar Tshiebwe,IND,8,2,6,5.2,2217,0.42,0.21,0.21,4.39,4.56,4.22
Oshae Brissett,BOS,55,46,9,11.5,4672.6,0.88,0.47,0.41,4.32,4.49,4.14
Otto Porter Jr.,TOR,15,6,9,11.6,4812.1,0.91,0.49,0.42,4.31,4.56,3.99
Ousmane Dieng,OKC,33,21,12,11.1,4546.2,0.86,0.48,0.38,4.37,4.75,3.98
P.J. Tucker,LAC,31,13,18,15.7,6132.2,1.16,0.6,0.56,4.11,4.19,4.03
P.J. Washington,DAL,72,29,43,30.4,12060.9,2.28,1.22,1.06,4.2,4.51,3.89
Paolo Banchero,ORL,80,46,34,35,13321.5,2.52,1.42,1.1,4.02,4.38,3.63
Pascal Siakam,IND,80,38,42,33.2,13343.1,2.53,1.36,1.17,4.25,4.71,3.81
Pat Connaughton,MIL,76,45,31,22.1,8963.2,1.7,0.9,0.79,4.26,4.56,3.97
Pat Spencer,GSW,5,4,1,4.8,2074.8,0.39,0.22,0.17,4.57,5.01,3.66
Patrick Baldwin Jr.,WAS,38,6,32,13,5495.1,1.04,0.55,0.49,4.47,5.02,3.99
Patrick Beverley,MIL,73,43,30,20,8164.9,1.55,0.83,0.72,4.29,4.56,4.01
Patrick Williams,CHI,43,19,24,27.3,10955.7,2.07,1.1,0.98,4.27,4.62,3.95
Patty Mills,MIA,32,15,17,13,5663.8,1.07,0.58,0.5,4.64,4.94,4.35
Paul George,LAC,73,47,26,33.7,12655.3,2.4,1.31,1.09,4.01,4.31,3.7
Paul Reed,PHI,81,46,35,19.3,7935.5,1.5,0.8,0.7,4.35,4.61,4.1
Payton Pritchard,BOS,81,63,18,22.3,8958.7,1.7,0.92,0.78,4.27,4.54,3.99
Pete Nance,CLE,8,3,5,3.4,1280.4,0.24,0.13,0.11,3.82,3.94,3.7
Peyton Watson,DEN,78,54,24,18.5,7709.9,1.46,0.77,0.69,4.4,4.61,4.18
Precious Achiuwa,NYK,74,40,34,21.9,8663.5,1.64,0.88,0.76,4.18,4.31,4.03
Quentin Grimes,DET,51,32,19,20.1,7697.5,1.46,0.78,0.68,4.09,4.23,3.93
Quenton Jackson,IND,3,3,0,3.5,1351.3,0.26,0.13,0.13,4.11,4.37,3.88
R.J. Hampton,MIA,8,3,5,9.5,3951.6,0.75,0.4,0.35,4.48,4.77,4.2
RJ Barrett,TOR,58,26,32,31.7,12957.8,2.45,1.3,1.15,4.35,4.72,3.99
RaiQuan Gray,SAS,3,2,1,13,5238.3,0.99,0.53,0.46,4.3,4.7,3.92
Rayan Rupert,POR,38,6,32,16.3,7098.7,1.34,0.72,0.63,4.6,4.89,4.31
Reggie Bullock Jr.,HOU,44,24,20,9.5,3679.9,0.7,0.36,0.33,4.18,4.47,3.9
Reggie Jackson,DEN,80,55,25,22.4,8637.5,1.64,0.9,0.74,4.09,4.41,3.75
Richaun Holmes,WAS,40,13,27,13.8,5357.1,1.01,0.52,0.49,4.11,4.22,4
Ricky Council IV,PHI,31,14,17,9.1,3842.2,0.73,0.38,0.35,4.42,4.75,4.08
Robert Covington,PHI,29,20,9,16.8,6598,1.25,0.67,0.58,4.08,4.32,3.86
Robert Williams III,POR,6,2,4,19.8,7693,1.46,0.78,0.68,4,4.32,3.78
Robin Lopez,MIL,16,10,6,4,1565.2,0.3,0.16,0.13,4.01,4.27,3.73
Ron Harper Jr.,TOR,1,1,0,3.6,1724,0.33,0.19,0.14,4.22,4.7,3.51
Royce O'Neale,PHX,77,38,39,24.6,9961.2,1.89,1.06,0.82,4.26,4.72,3.78
Rudy Gobert,MIN,76,53,23,34.1,13486.9,2.55,1.34,1.21,4.18,4.37,3.99
Rui Hachimura,LAL,67,39,28,26.9,10545.7,2,1.05,0.95,4.22,4.44,4.01
Russell Westbrook,LAC,68,45,23,22.5,8580.3,1.63,0.88,0.74,4.01,4.38,3.64
Ryan Arcidiacono,NYK,20,15,5,2.3,911.6,0.17,0.09,0.08,4.53,5.02,4.05
Ryan Rollins,MIL,13,1,12,6,2606.4,0.49,0.23,0.26,4.4,4.91,4.04
Saben Lee,PHX,23,15,8,7.8,3274,0.62,0.32,0.3,4.49,4.67,4.25
Saddiq Bey,ATL,63,28,35,32.7,12853.3,2.43,1.25,1.18,4.23,4.39,4.06
Sam Hauser,BOS,78,61,17,22.1,9424.6,1.78,0.97,0.81,4.52,4.91,4.13
Sam Merrill,CLE,61,36,25,17.5,7256.1,1.37,0.75,0.62,4.38,4.76,4
Sandro Mamukelashvili,SAS,45,11,34,9.9,4244.9,0.8,0.44,0.36,4.54,5.08,4.03
Santi Aldama,MEM,61,23,38,26.5,10829.3,2.05,1.1,0.95,4.33,4.54,4.12
Sasha Vezenkov,SAC,42,22,20,12.2,5217,0.99,0.53,0.45,4.55,4.95,4.16
Scoot Henderson,POR,61,17,44,28.5,11855.3,2.25,1.19,1.05,4.38,4.63,4.13
Scottie Barnes,TOR,60,22,38,34.9,14078.1,2.67,1.41,1.25,4.25,4.65,3.88
Scotty Pippen Jr.,MEM,21,5,16,25.1,10670.5,2.02,1.08,0.94,4.53,4.7,4.36
Seth Curry,CHA,44,25,19,14,5521.7,1.05,0.56,0.48,4.23,4.47,3.98
Seth Lundy,ATL,9,2,7,5.8,2370,0.45,0.23,0.22,4.31,4.74,4.12
Shaedon Sharpe,POR,32,8,24,33.1,13220.1,2.5,1.34,1.16,4.2,4.51,3.91
Shai Gilgeous-Alexander,OKC,75,55,20,34,13251.1,2.51,1.37,1.14,4.1,4.61,3.62
Shake Milton,NYK,48,32,16,12.1,4873.3,0.92,0.5,0.42,4.22,4.57,3.87
Shaquille Harrison,MEM,3,1,2,2,771,0.15,0.08,0.07,3.58,3.47,3.69
Sidy Cissoko,SAS,12,5,7,11.7,4855.2,0.92,0.49,0.43,4.35,4.8,3.93
Simone Fontecchio,DET,65,29,36,24.8,10544.6,2,1.09,0.9,4.49,4.85,4.12
Skylar Mays,LAL,38,14,24,11.4,4400.3,0.83,0.45,0.38,4.08,4.34,3.8
Spencer Dinwiddie,LAL,75,38,37,28.3,10276.5,1.95,1.06,0.89,3.9,4.19,3.6
Stanley Umude,DET,23,4,19,12.8,5121.4,0.97,0.51,0.46,4.2,4.48,3.93
Stephen Curry,GSW,74,43,31,32.7,12857.1,2.44,1.4,1.03,4.24,4.9,3.58
Svi Mykhailiuk,BOS,41,32,9,10.1,4073.9,0.77,0.42,0.35,4.28,4.54,4.02
T.J. McConnell,IND,71,40,31,18.2,8091.6,1.53,0.82,0.71,4.68,5.02,4.35
T.J. Warren,MIN,11,7,4,11.3,4620.4,0.88,0.45,0.42,4.32,4.52,4.21
Taj Gibson,DET,20,8,12,10.2,3877.4,0.73,0.39,0.34,4.15,4.23,4.07
Talen Horton-Tucker,UTA,50,14,36,20,7637.9,1.45,0.8,0.64,3.99,4.41,3.57
Tari Eason,HOU,22,12,10,21.8,8913.7,1.69,0.91,0.78,4.24,4.51,3.96
Taurean Prince,LAL,77,43,34,27.1,10062.3,1.91,0.97,0.94,3.99,4.09,3.89
Taylor Hendricks,UTA,40,13,27,21.4,8835.6,1.67,0.88,0.79,4.37,4.45,4.28
Tazé Moore,POR,4,1,3,10.1,4404,0.83,0.45,0.38,4.5,4.73,4.25
Terance Mann,LAC,74,46,28,25,10008.8,1.9,0.99,0.9,4.3,4.39,4.21
Terquavion Smith,PHI,15,7,8,5.3,2191.9,0.42,0.21,0.2,4.32,4.85,4.01
Terry Rozier,MIA,61,22,39,33.5,13836,2.62,1.44,1.18,4.4,4.75,4.03
Terry Taylor,CHI,30,12,18,6.2,2622.4,0.5,0.25,0.25,4.46,4.76,4.19
Thaddeus Young,PHX,33,12,21,13.3,5230.1,0.99,0.52,0.47,4.15,4.47,3.85
Thanasis Antetokounmpo,MIL,34,21,13,4.6,1878.6,0.36,0.18,0.17,4.29,4.33,4.25
Theo Maledon,PHX,17,5,12,12.5,5471,1.04,0.57,0.47,4.44,4.89,3.99
Thomas Bryant,MIA,38,22,16,11.6,4343.2,0.82,0.44,0.38,4.12,4.37,3.85
Tim Hardaway Jr.,DAL,78,48,30,27,10052.8,1.9,1.02,0.88,4,4.31,3.7
Timmy Allen,MEM,5,0,5,25.1,10593,2.01,1.13,0.87,4.4,4.75,4.11
Tobias Harris,PHI,69,40,29,33.9,13404.8,2.54,1.38,1.15,4.18,4.47,3.88
Torrey Craig,CHI,52,22,30,19.9,8286.3,1.57,0.82,0.74,4.54,4.81,4.27
Tosan Evbuomwan,DET,17,1,16,21.6,8943.5,1.69,0.88,0.82,4.42,4.62,4.23
Toumani Camara,POR,69,18,51,24.8,10759.4,2.04,1.05,0.99,4.6,4.73,4.48
Trae Young,ATL,54,22,32,36,13467.6,2.55,1.4,1.15,4,4.45,3.56
Trayce Jackson-Davis,GSW,67,39,28,16.5,6681.3,1.27,0.67,0.59,4.32,4.58,4.06
Tre Jones,SAS,76,20,56,27.7,12012.7,2.28,1.2,1.08,4.58,4.97,4.22
Tre Mann,CHA,41,21,20,24.1,9896.2,1.87,1.02,0.85,4.39,4.79,3.99
Trendon Watford,BKN,61,25,36,13.2,5272.7,1,0.55,0.45,4.2,4.6,3.8
Trent Forrest,ATL,38,18,20,10.9,4290.4,0.81,0.43,0.38,4.21,4.37,4.05
Trevelin Queen,ORL,14,5,9,11.8,4665.8,0.88,0.46,0.42,4.15,4.35,3.94
Trey Jemison III,MEM,25,5,20,23,9236.3,1.75,0.96,0.79,4.26,4.37,4.12
Trey Lyles,SAC,58,33,25,20,8299.9,1.57,0.84,0.74,4.38,4.79,4
Trey Murphy III,NOP,56,35,21,29.8,11740.6,2.22,1.16,1.06,4.19,4.39,3.99
Tristan Thompson,CLE,49,28,21,11.2,4379.3,0.83,0.44,0.39,4.1,4.21,3.98
Tristan Vukcevic,WAS,10,3,7,15.3,6180.2,1.17,0.6,0.57,4.28,4.64,3.97
Troy Brown Jr.,DET,58,30,28,14.2,5904.3,1.12,0.59,0.53,4.43,4.75,4.12
Ty Jerome,CLE,2,1,1,7.4,3216.5,0.61,0.34,0.27,4.19,4.62,3.7
TyTy Washington Jr.,MIL,11,5,6,5.1,2002.8,0.38,0.21,0.17,4.16,4.64,3.69
Tyler Herro,MIA,42,23,19,33.5,13657.7,2.59,1.42,1.17,4.43,4.91,3.96
Tyrese Haliburton,IND,69,40,29,32.2,13119.1,2.48,1.39,1.1,4.32,5,3.7
Tyrese Maxey,PHI,69,42,27,37.6,15355.2,2.91,1.67,1.24,4.31,4.85,3.75
Tyus Jones,WAS,66,11,55,29.3,12081.5,2.29,1.24,1.05,4.38,4.82,3.95
Udoka Azubuike,PHX,16,12,4,7,2715.3,0.51,0.27,0.25,4.02,4.19,3.86
Usman Garuba,GSW,6,5,1,3,1206.5,0.23,0.12,0.11,4.28,3.92,4.03
Vasilije Micić,CHA,59,33,26,19.4,7807.5,1.48,0.83,0.65,4.28,4.78,3.78
Victor Wembanyama,SAS,71,19,52,29.7,11961.8,2.27,1.21,1.06,4.27,4.7,3.87
Vince Williams Jr.,MEM,52,18,34,27.6,11731.9,2.22,1.15,1.07,4.51,4.58,4.44
Vít Krejčí,ATL,22,9,13,24.6,9791.7,1.85,0.99,0.86,4.24,4.48,3.98
Walker Kessler,UTA,63,26,37,23.3,9743.4,1.85,1.01,0.83,4.41,4.69,4.11
Wendell Carter Jr.,ORL,55,30,25,25.6,9528.3,1.8,0.95,0.85,3.96,4.09,3.81
Wendell Moore Jr.,MIN,25,18,7,3,1280,0.24,0.13,0.12,4.44,4.6,4.27
Wenyen Gabriel,MEM,5,1,4,16.2,6521.2,1.24,0.68,0.55,4.42,4.78,4.05
Wesley Matthews,ATL,36,11,25,11.5,4718.1,0.89,0.47,0.42,4.35,4.68,4.03
Xavier Moon,LAC,14,7,7,8.5,3333.2,0.63,0.35,0.28,4.3,4.55,4.02
Xavier Tillman,BOS,54,30,24,18.1,7359.5,1.39,0.74,0.65,4.35,4.61,4.09
Yuta Watanabe,MEM,34,18,16,13.7,5720.5,1.08,0.6,0.49,4.46,4.77,4.12
Zach Collins,SAS,68,18,50,22.1,8836.8,1.67,0.89,0.78,4.22,4.52,3.92
Zach LaVine,CHI,25,10,15,34.9,13764.7,2.61,1.41,1.2,4.17,4.63,3.73
Zavier Simpson,MEM,7,1,6,23.1,9752.6,1.85,1.05,0.8,4.4,4.65,4.11
Zeke Nnaji,DEN,56,39,17,9.9,3993.4,0.76,0.4,0.36,4.19,4.36,4
Ziaire Williams,MEM,51,20,31,20.4,8091.1,1.53,0.79,0.74,4.19,4.28,4.09
Zion Williamson,NOP,69,42,27,31.6,12419.4,2.35,1.26,1.09,4.15,4.51,3.81
