PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Jae'Sean Tate,HOU,65,32,33,15.9,6444,1.22,0.65,0.57,4.29,4.6,3.98
Jahmi'us Ramsey,TOR,7,0,7,17.3,7338.7,1.39,0.68,0.71,4.48,4.68,4.31
Jaime Jaquez Jr.,MIA,75,44,31,28.2,11924.2,2.26,1.24,1.02,4.54,4.99,4.11
Jake LaRavia,MEM,35,8,27,23,9891.2,1.87,1.01,0.86,4.48,4.75,4.2
Jakob Poeltl,TOR,50,21,29,26.4,10875.3,2.06,1.07,0.99,4.38,4.67,4.09
Jalen Brunson,NYK,77,49,28,35.4,14137.6,2.68,1.57,1.11,4.24,4.67,3.76
Jalen Crutcher,NOP,1,1,0,2.6,1020,0.19,0.11,0.09,4.14,4.05,4.24
Jalen Duren,DET,60,13,47,29.4,11450.3,2.17,1.15,1.02,4.15,4.45,3.85
Jalen Green,HOU,82,41,41,31.7,12798.5,2.42,1.34,1.09,4.29,4.75,3.82
Jalen Hood-Schifino,LAL,20,9,11,5,2022.8,0.38,0.21,0.17,4.21,4.42,3.87
Jalen Johnson,ATL,56,27,29,33.7,13548.7,2.57,1.38,1.19,4.31,4.7,3.93
Jalen McDaniels,TOR,49,12,37,10.5,4394,0.83,0.44,0.39,4.41,4.72,4.11
Jalen Pickett,DEN,26,19,7,4.6,1856.5,0.35,0.2,0.15,4.18,4.76,3.59
Jalen Slawson,SAC,12,8,4,3.1,1262.7,0.24,0.13,0.11,4.31,4.65,3.95
Jalen Smith,IND,61,36,25,17.2,6989.1,1.32,0.7,0.62,4.32,4.66,4
Jalen Suggs,ORL,75,43,32,27,10773,2.04,1.09,0.95,4.23,4.4,4.05
Jalen Williams,OKC,71,51,20,31.3,13263.3,2.51,1.39,1.12,4.48,5.11,3.88
Jalen Wilson,BKN,41,14,27,14.9,6142.9,1.16,0.62,0.54,4.33,4.62,4.05
Jamal Cain,MIA,26,14,12,10,4191.7,0.79,0.41,0.39,4.48,4.56,4.4
Jamal Murray,DEN,57,42,15,31.4,12234.5,2.32,1.3,1.02,4.14,4.54,3.72
Jamaree Bouyea,SAS,9,2,7,10.5,4416,0.84,0.45,0.39,4.39,4.63,4.15
James Bouknight,CHA,14,0,14,5.8,2303.2,0.44,0.24,0.19,4.16,4.55,3.75
James Harden,LAC,71,45,26,34.3,11616.6,2.2,1.2,1,3.61,3.86,3.35
James Johnson,IND,9,4,5,5.2,1974.4,0.37,0.19,0.19,3.97,4.34,3.65
James Wiseman,DET,62,9,53,17.1,7048,1.33,0.71,0.63,4.37,4.7,4.05
Jarace Walker,IND,33,18,15,10.3,4085.8,0.77,0.42,0.36,4.15,4.53,3.77
Jared Butler,WAS,40,6,34,14.1,5793.4,1.1,0.58,0.52,4.33,4.82,3.89
Jared Rhoden,DET,17,2,15,14.4,6024.4,1.14,0.61,0.53,4.4,4.7,4.1
Jaren Jackson Jr.,MEM,66,22,44,32.2,12234.4,2.32,1.25,1.07,4.01,4.32,3.71
Jarred Vanderbilt,LAL,28,13,15,20.2,8010.3,1.52,0.76,0.76,4.5,4.51,4.49
Jarrett Allen,CLE,77,46,31,31.7,12139.4,2.3,1.2,1.1,4.08,4.28,3.89
Jason Preston,UTA,7,2,5,10.2,4101.3,0.78,0.42,0.36,4.26,4.63,3.89
Javon Freeman-Liberty,TOR,21,3,18,18.3,7772.2,1.47,0.78,0.7,4.5,4.85,4.15
Javonte Green,CHI,9,5,4,25.6,10580.1,2,1.03,0.97,4.41,4.76,4.08
Javonte Smart,PHI,1,1,0,0.7,204,0.04,0.02,0.02,0,0,0
Jaxson Hayes,LAL,69,40,29,12.5,4968.9,0.94,0.51,0.44,4.25,4.56,3.93
Jay Huff,DEN,19,15,4,2.5,980.7,0.19,0.1,0.09,3.94,4.01,3.86
Jaylen Brown,BOS,69,51,18,33.5,12479.5,2.36,1.23,1.13,3.96,4.16,3.76
Jaylen Nowell,DET,13,3,10,16.4,6636.7,1.26,0.64,0.62,4.26,4.39,4.19
Jaylin Williams,OKC,69,48,21,13,4965.6,0.94,0.51,0.43,4.05,4.33,3.77
Jayson Tatum,BOS,73,56,17,35.7,12255.1,2.32,1.25,1.07,3.64,3.92,3.37
Jeff Dowtin Jr.,PHI,11,6,5,12.2,4789.1,0.91,0.48,0.43,4.14,4.45,3.84
